id,started_at,ended_at,break_type,store_id,employee_id,created_at,updated_at,add_to_queue
2740,2022-01-03 12:53:45 +0100,2022-01-03 13:00:06 +0100,short,4,20,2022-01-03 12:53:45 +0100,2022-01-03 13:00:06 +0100,false
2741,2022-01-03 14:16:12 +0100,2022-01-03 14:56:22 +0100,short,3,12,2022-01-03 14:16:12 +0100,2022-01-03 14:56:23 +0100,false
2742,2022-01-03 14:52:24 +0100,2022-01-03 15:02:18 +0100,long,4,20,2022-01-03 14:52:24 +0100,2022-01-03 15:02:18 +0100,false
2743,2022-01-03 14:55:40 +0100,2022-01-03 14:59:14 +0100,short,5,8,2022-01-03 14:55:40 +0100,2022-01-03 14:59:14 +0100,false
2744,2022-01-03 15:08:38 +0100,2022-01-03 15:08:42 +0100,short,3,12,2022-01-03 15:08:38 +0100,2022-01-03 15:08:43 +0100,false
2745,2022-01-03 16:43:00 +0100,2022-01-03 16:45:46 +0100,short,2,19,2022-01-03 16:43:03 +0100,2022-01-03 16:45:46 +0100,false
2746,2022-01-03 16:57:48 +0100,2022-01-03 17:05:13 +0100,short,4,20,2022-01-03 16:57:48 +0100,2022-01-03 17:05:13 +0100,false
2747,2022-01-03 17:42:01 +0100,2022-01-03 17:46:24 +0100,short,5,8,2022-01-03 17:42:01 +0100,2022-01-03 17:46:24 +0100,false
2748,2022-01-03 18:58:33 +0100,2022-01-03 19:05:51 +0100,short,4,20,2022-01-03 18:58:33 +0100,2022-01-03 19:05:51 +0100,false
2749,2022-01-04 10:03:05 +0100,2022-01-04 10:10:19 +0100,short,4,21,2022-01-04 10:03:05 +0100,2022-01-04 10:10:19 +0100,false
2750,2022-01-04 11:17:55 +0100,2022-01-04 11:25:45 +0100,short,4,21,2022-01-04 11:17:55 +0100,2022-01-04 11:25:45 +0100,false
2751,2022-01-04 12:03:21 +0100,2022-01-04 12:03:29 +0100,short,3,12,2022-01-04 12:03:22 +0100,2022-01-04 12:03:29 +0100,false
2752,2022-01-04 12:26:42 +0100,2022-01-04 12:28:48 +0100,long,4,20,2022-01-04 12:26:42 +0100,2022-01-04 12:28:48 +0100,false
2753,2022-01-04 12:42:47 +0100,2022-01-04 12:56:21 +0100,long,4,21,2022-01-04 12:42:47 +0100,2022-01-04 12:56:21 +0100,false
2754,2022-01-04 13:14:39 +0100,2022-01-04 13:15:34 +0100,short,5,19,2022-01-04 13:14:43 +0100,2022-01-04 13:15:38 +0100,false
2755,2022-01-04 13:39:26 +0100,2022-01-04 13:39:33 +0100,short,3,12,2022-01-04 13:39:26 +0100,2022-01-04 13:39:33 +0100,false
2756,2022-01-04 14:12:24 +0100,2022-01-04 14:18:24 +0100,short,4,21,2022-01-04 14:12:24 +0100,2022-01-04 14:18:24 +0100,false
2757,2022-01-04 14:13:23 +0100,2022-01-04 14:26:07 +0100,short,5,16,2022-01-04 14:13:23 +0100,2022-01-04 14:26:07 +0100,false
2758,2022-01-04 14:28:05 +0100,2022-01-04 14:28:12 +0100,short,3,12,2022-01-04 14:28:05 +0100,2022-01-04 14:28:12 +0100,false
2759,2022-01-04 15:30:46 +0100,2022-01-04 15:37:13 +0100,short,5,19,2022-01-04 15:30:46 +0100,2022-01-04 15:37:13 +0100,false
2760,2022-01-04 15:33:12 +0100,2022-01-04 15:44:15 +0100,short,4,21,2022-01-04 15:33:12 +0100,2022-01-04 15:44:16 +0100,false
2761,2022-01-04 17:23:41 +0100,2022-01-04 17:30:56 +0100,short,4,21,2022-01-04 17:23:41 +0100,2022-01-04 17:30:56 +0100,false
2762,2022-01-04 18:43:57 +0100,2022-01-04 18:52:37 +0100,short,4,21,2022-01-04 18:43:57 +0100,2022-01-04 18:52:37 +0100,false
2763,2022-01-04 19:30:52 +0100,2022-01-04 19:37:02 +0100,short,4,21,2022-01-04 19:30:55 +0100,2022-01-04 19:37:04 +0100,false
2764,2022-01-05 10:27:44 +0100,2022-01-05 10:36:00 +0100,short,4,21,2022-01-05 10:27:44 +0100,2022-01-05 10:36:00 +0100,false
2765,2022-01-05 10:52:25 +0100,2022-01-05 11:03:06 +0100,short,5,8,2022-01-05 10:52:27 +0100,2022-01-05 11:03:08 +0100,false
2766,2022-01-05 11:22:10 +0100,2022-01-05 11:34:38 +0100,long,4,21,2022-01-05 11:22:10 +0100,2022-01-05 11:34:38 +0100,false
2767,2022-01-05 11:48:30 +0100,2022-01-05 11:48:36 +0100,short,3,6,2022-01-05 11:48:30 +0100,2022-01-05 11:48:36 +0100,false
2768,2022-01-05 12:36:32 +0100,2022-01-05 12:43:27 +0100,short,4,21,2022-01-05 12:36:32 +0100,2022-01-05 12:43:27 +0100,false
2769,2022-01-05 15:53:03 +0100,2022-01-05 16:37:54 +0100,long,3,12,2022-01-05 15:53:05 +0100,2022-01-05 16:37:54 +0100,false
2770,2022-01-05 17:01:44 +0100,2022-01-05 17:07:45 +0100,short,2,3,2022-01-05 17:01:44 +0100,2022-01-05 17:07:45 +0100,false
2771,2022-01-05 18:48:32 +0100,2022-01-05 18:57:22 +0100,short,4,8,2022-01-05 18:48:32 +0100,2022-01-05 18:57:22 +0100,false
2772,2022-01-06 09:50:54 +0100,2022-01-06 09:58:18 +0100,short,4,21,2022-01-06 09:50:55 +0100,2022-01-06 09:58:18 +0100,false
